player,player_id,team,nationality,pos,overall,market_value,transfer_open,pace_score,shoot_score,pass_score,dribble_score,defense_score,physic_score,goals,xg_total,assists,key_passes,passes_total,pass_completion,dribbles_total,dribbles_won,pressures,progressive_passes,formations,best_formation,strengths,weaknesses,systems,competitions
Moussa Dembélé,12509.0,Lyon,EU,ST,55,1-6M€,73,40,54,50,40,43,41,0.0,0.25273198,0,0,7.0,0.7142857142857143,0.0,0.0,6.0,1.0,"['4-3-3', '4-4-2', '4-2-3-1']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Attaque directe', 'Pressing avant', 'Profondeur']",['Ligue 1 2022/23']
Mathias Jensen,18722.0,Denmark,DK,CM,55,1-6M€,48,43,52,51,71,44,44,0.0,0.019605601,0,2,36.0,0.6944444444444444,1.0,1.0,7.0,9.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Box-to-box', 'Pressing collectif', 'Transitions']",['FIFA World Cup 2022']
Mounaim El Idrissy,20879.0,AC Ajaccio,EU,ST,55,1-6M€,50,41,40,49,40,56,42,0.0,0.0,0,0,18.0,0.6666666666666666,0.0,0.0,30.0,5.0,"['4-3-3', '4-4-2', '4-2-3-1']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Attaque directe', 'Pressing avant', 'Profondeur']",['Ligue 1 2022/23']
Mory Diaw,48502.0,Clermont Foot,EU,GK,55,1-6M€,37,44,40,57,40,44,43,0.0,0.0,0,0,41.0,0.8048780487804879,0.0,0.0,0.0,27.0,"['4-3-3', '4-4-2', '3-5-2']",4-3-3,['Passes progressives'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Relance au pied', 'Distribution longue']",['Ligue 1 2022/23']
Michel Aebischer,16016.0,Switzerland,CH,LWB,55,1-6M€,94,41,40,64,40,58,46,0.0,0.054864526,0,0,43.0,0.9767441860465116,0.0,0.0,24.0,8.0,"['3-4-3', '3-5-2', '5-3-2']",3-4-3,['Précision passe'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Piston gauche', '3 derrière', 'Transitions']",['UEFA Euro 2024']
Mickaël Barreto,7811.0,AC Ajaccio,EU,RW,55,1-6M€,84,43,44,51,42,65,45,0.0,0.16017276600000002,0,0,28.0,0.7142857142857143,1.0,0.0,48.0,9.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Finition', 'Dribble']","['Haute pression', 'Ailier haut', 'Contre-pressing']",['Ligue 1 2022/23']
Mathieu Coutadeur,7292.0,AC Ajaccio,EU,CM,55,1-6M€,28,41,40,59,40,43,42,0.0,0.0,0,0,31.0,0.8709677419354839,0.0,0.0,5.0,7.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Box-to-box', 'Pressing collectif', 'Transitions']",['Ligue 1 2022/23']
Mathis Rayan Cherki,32649.0,Lyon,EU,CAM,55,1-6M€,48,46,40,49,58,51,45,0.0,0.05051729,0,2,38.0,0.6578947368421053,2.0,1.0,21.0,15.0,"['4-2-3-1', '4-3-3', '3-4-3']",4-2-3-1,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Jeu de possession', 'Milieu créatif', 'Entre les lignes']",['Ligue 1 2022/23']
Moritz Jenz,48500.0,Wolfsburg,EU,CB,55,1-6M€,69,42,40,60,71,45,40,0.0,0.0,0,0,12.0,0.9166666666666666,1.0,1.0,1.0,5.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,['Précision passe'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Ligne haute', 'Sortie balle au sol', 'Couverture de zone']",['Bundesliga 2023/24']
Matthias Bader,15797.0,Darmstadt 98,EU,RB,55,1-6M€,54,42,40,50,40,68,45,0.0,0.0,0,0,37.0,0.6756756756756757,0.0,0.0,42.0,16.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Finition', 'Dribble']","['Piston offensif', 'Débordement', 'Centres']",['Bundesliga 2023/24']
Matthias Ginter,8808.0,Freiburg,EU,CB,55,1-6M€,22,41,40,63,40,47,42,0.0,0.0,0,0,25.0,0.96,0.0,0.0,5.0,11.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,['Précision passe'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Ligne haute', 'Sortie balle au sol', 'Couverture de zone']",['Bundesliga 2023/24']
Mattéo Guendouzi Olié,7345.0,Marseille,EU,CAM,55,1-6M€,67,42,41,60,40,52,47,0.0,0.07257201199999999,0,0,58.0,0.8620689655172413,0.0,0.0,23.0,14.0,"['4-2-3-1', '4-3-3', '3-4-3']",4-2-3-1,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Jeu de possession', 'Milieu créatif', 'Entre les lignes']",['Ligue 1 2022/23']
Muhammed Cham Saracevic,32481.0,Clermont Foot,EU,CAM,55,1-6M€,72,43,48,60,42,49,46,0.0,0.404242502,0,2,47.0,0.8723404255319149,1.0,0.0,17.0,11.0,"['4-2-3-1', '4-3-3', '3-4-3']",4-2-3-1,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Jeu de possession', 'Milieu créatif', 'Entre les lignes']",['Ligue 1 2022/23']
Aaron Mooy,3281.0,Australia,EU,CDM,55,1-6M€,61,52,40,60,43,64,57,0.0,0.039191317,0,1,152.0,0.743421052631579,2.0,0.0,34.0,62.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,['Passes progressives'],"['Jeu de passe', 'Finition', 'Dribble']","['Double pivot', 'Récupération', 'Bloc bas']",['FIFA World Cup 2022']
Oleksandr Svatok,30059.0,Ukraine,UA,CB,55,1-6M€,46,41,40,63,40,50,42,0.0,0.0,0,0,24.0,0.9583333333333334,0.0,0.0,10.0,5.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,['Précision passe'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Ligne haute', 'Sortie balle au sol', 'Couverture de zone']",['UEFA Euro 2024']
Thomas Mangani,3185.0,AC Ajaccio,EU,CDM,55,1-6M€,68,42,40,57,40,61,44,0.0,0.028438749,0,0,29.0,0.8275862068965517,0.0,0.0,29.0,16.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Finition', 'Dribble']","['Double pivot', 'Récupération', 'Bloc bas']",['Ligue 1 2022/23']
